787
897,76,987
1,2,3,4,5,6,7,8,9,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
1,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
2,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
3,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
4,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
5,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
6,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
7,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
8,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
9,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
10,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
11,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
12,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
13,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
14,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
15,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
16,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
17,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
18,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
19,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
20,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
21,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
22,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,105,105
23,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,120,120
24,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,104,104,136,136
25,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,94,94,122,122,151,151
26,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,115,115,141,141,166,166
27,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,103,103,136,136,159,159,182,182
28,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,118,118,157,157,177,177,197,197
29,90,90,90,90,90,90,90,90,90,90,90,135,135,135,135,135,138,138,177,177,200,200,223,223
30,90,90,90,90,90,90,90,90,90,90,90,135,135,135,135,135,157,157,196,196,223,223,249,249
31,90,90,90,90,90,90,90,90,90,90,90,135,135,135,135,144,177,177,216,216,246,246,276,276
32,90,90,90,90,90,90,90,90,90,90,90,135,135,135,142,180,197,197,236,236,269,269,302,302
33,90,90,90,90,90,90,90,90,90,90,90,135,135,135,163,188,217,217,256,256,292,292,328,328
34,90,90,90,90,90,90,90,90,90,90,90,135,135,157,183,209,236,236,275,275,315,315,354,354
35,90,90,90,90,90,90,90,90,90,90,90,180,180,180,199,225,252,252,291,291,334,334,378,378
36,90,90,90,90,90,90,90,90,90,90,90,180,180,189,215,241,268,268,307,307,354,354,401,401
37,90,90,90,90,90,90,90,90,90,90,90,180,180,204,230,256,283,283,322,322,374,374,425,425
38,90,90,90,90,90,90,90,90,90,90,90,180,181,220,246,272,299,299,338,338,393,393,448,448
39,90,90,90,90,90,90,90,90,90,90,98,180,197,236,262,288,315,315,354,354,413,413,472,472
40,90,90,90,90,90,90,90,90,90,90,108,180,204,243,271,299,335,335,374,374,433,433,492,492
41,90,90,90,90,90,90,90,90,90,90,118,180,210,249,280,310,354,354,393,393,453,453,512,512
42,90,90,90,90,90,135,135,135,135,135,135,225,270,270,289,360,374,374,413,413,472,472,532,532
43,90,90,90,90,90,135,135,135,135,135,137,225,270,270,297,360,394,394,433,433,492,492,551,551
44,90,90,90,90,90,135,135,135,135,135,147,225,270,270,306,360,414,414,453,453,512,512,571,571
45,90,90,90,90,90,135,135,135,135,135,157,225,270,275,315,360,433,433,472,472,532,532,591,591
46,90,90,90,90,90,135,135,135,135,135,180,270,315,315,324,405,452,452,491,491,552,552,611,611
47,90,90,90,90,90,135,135,135,135,135,180,270,315,315,333,405,472,472,511,511,572,572,631,631
